Designator,Val,Package,MidX,MidY,Rotation,Layer
"U100","~","2.1x2.1_LED",162.000000,-52.000000,180.000000,bottom
"U101","~","2.1x2.1_LED",158.000000,-52.000000,180.000000,bottom
"U102","~","2.1x2.1_LED",154.000000,-52.000000,180.000000,bottom
"U103","~","2.1x2.1_LED",150.000000,-52.000000,180.000000,bottom
"U104","~","2.1x2.1_LED",146.000000,-52.000000,180.000000,bottom
"U105","~","2.1x2.1_LED",142.000000,-52.000000,180.000000,bottom
"U106","~","2.1x2.1_LED",138.000000,-52.000000,180.000000,bottom
"U107","~","2.1x2.1_LED",134.000000,-52.000000,180.000000,bottom
"U108","~","2.1x2.1_LED",130.000000,-52.000000,180.000000,bottom
"U109","~","2.1x2.1_LED",126.000000,-52.000000,180.000000,bottom
"U110","~","2.1x2.1_LED",122.000000,-52.000000,180.000000,bottom
"U111","~","2.1x2.1_LED",118.000000,-52.000000,180.000000,bottom
"U112","~","2.1x2.1_LED",114.000000,-52.000000,180.000000,bottom
"U113","~","2.1x2.1_LED",110.000000,-52.000000,180.000000,bottom
"U114","~","2.1x2.1_LED",106.000000,-52.000000,180.000000,bottom
"U115","~","2.1x2.1_LED",102.000000,-52.000000,180.000000,bottom
"U116","~","2.1x2.1_LED",162.000000,-56.000000,180.000000,bottom
"U117","~","2.1x2.1_LED",158.000000,-56.000000,180.000000,bottom
"U118","~","2.1x2.1_LED",154.000000,-56.000000,180.000000,bottom
"U119","~","2.1x2.1_LED",150.000000,-56.000000,180.000000,bottom
"U120","~","2.1x2.1_LED",146.000000,-56.000000,180.000000,bottom
"U121","~","2.1x2.1_LED",142.000000,-56.000000,180.000000,bottom
"U122","~","2.1x2.1_LED",138.000000,-56.000000,180.000000,bottom
"U123","~","2.1x2.1_LED",134.000000,-56.000000,180.000000,bottom
"U124","~","2.1x2.1_LED",130.000000,-56.000000,180.000000,bottom
"U125","~","2.1x2.1_LED",126.000000,-56.000000,180.000000,bottom
"U126","~","2.1x2.1_LED",122.000000,-56.000000,180.000000,bottom
"U127","~","2.1x2.1_LED",118.000000,-56.000000,180.000000,bottom
"U128","~","2.1x2.1_LED",114.000000,-56.000000,180.000000,bottom
"U129","~","2.1x2.1_LED",110.000000,-56.000000,180.000000,bottom
"U130","~","2.1x2.1_LED",106.000000,-56.000000,180.000000,bottom
"U131","~","2.1x2.1_LED",102.000000,-56.000000,180.000000,bottom
"U132","~","2.1x2.1_LED",162.000000,-60.000000,180.000000,bottom
"U133","~","2.1x2.1_LED",158.000000,-60.000000,180.000000,bottom
"U134","~","2.1x2.1_LED",154.000000,-60.000000,180.000000,bottom
"U135","~","2.1x2.1_LED",150.000000,-60.000000,180.000000,bottom
"U136","~","2.1x2.1_LED",146.000000,-60.000000,180.000000,bottom
"U137","~","2.1x2.1_LED",142.000000,-60.000000,180.000000,bottom
"U138","~","2.1x2.1_LED",138.000000,-60.000000,180.000000,bottom
"U139","~","2.1x2.1_LED",134.000000,-60.000000,180.000000,bottom
"U140","~","2.1x2.1_LED",130.000000,-60.000000,180.000000,bottom
"U141","~","2.1x2.1_LED",126.000000,-60.000000,180.000000,bottom
"U142","~","2.1x2.1_LED",122.000000,-60.000000,180.000000,bottom
"U143","~","2.1x2.1_LED",118.000000,-60.000000,180.000000,bottom
"U144","~","2.1x2.1_LED",114.000000,-60.000000,180.000000,bottom
"U145","~","2.1x2.1_LED",110.000000,-60.000000,180.000000,bottom
"U146","~","2.1x2.1_LED",106.000000,-60.000000,180.000000,bottom
"U147","~","2.1x2.1_LED",102.000000,-60.000000,180.000000,bottom
"U148","~","2.1x2.1_LED",162.000000,-64.000000,180.000000,bottom
"U149","~","2.1x2.1_LED",158.000000,-64.000000,180.000000,bottom
"U150","~","2.1x2.1_LED",154.000000,-64.000000,180.000000,bottom
"U151","~","2.1x2.1_LED",150.000000,-64.000000,180.000000,bottom
"U152","~","2.1x2.1_LED",146.000000,-64.000000,180.000000,bottom
"U153","~","2.1x2.1_LED",142.000000,-64.000000,180.000000,bottom
"U154","~","2.1x2.1_LED",138.000000,-64.000000,180.000000,bottom
"U155","~","2.1x2.1_LED",134.000000,-64.000000,180.000000,bottom
"U156","~","2.1x2.1_LED",130.000000,-64.000000,180.000000,bottom
"U157","~","2.1x2.1_LED",126.000000,-64.000000,180.000000,bottom
"U158","~","2.1x2.1_LED",122.000000,-64.000000,180.000000,bottom
"U159","~","2.1x2.1_LED",118.000000,-64.000000,180.000000,bottom
"U160","~","2.1x2.1_LED",114.000000,-64.000000,180.000000,bottom
"U161","~","2.1x2.1_LED",110.000000,-64.000000,180.000000,bottom
"U162","~","2.1x2.1_LED",106.000000,-64.000000,180.000000,bottom
"U163","~","2.1x2.1_LED",102.000000,-64.000000,180.000000,bottom
"U164","~","2.1x2.1_LED",162.000000,-68.000000,180.000000,bottom
"U165","~","2.1x2.1_LED",158.000000,-68.000000,180.000000,bottom
"U166","~","2.1x2.1_LED",154.000000,-68.000000,180.000000,bottom
"U167","~","2.1x2.1_LED",150.000000,-68.000000,180.000000,bottom
"U168","~","2.1x2.1_LED",146.000000,-68.000000,180.000000,bottom
"U169","~","2.1x2.1_LED",142.000000,-68.000000,180.000000,bottom
"U170","~","2.1x2.1_LED",138.000000,-68.000000,180.000000,bottom
"U171","~","2.1x2.1_LED",134.000000,-68.000000,180.000000,bottom
"U172","~","2.1x2.1_LED",130.000000,-68.000000,180.000000,bottom
"U173","~","2.1x2.1_LED",126.000000,-68.000000,180.000000,bottom
"U174","~","2.1x2.1_LED",122.000000,-68.000000,180.000000,bottom
"U175","~","2.1x2.1_LED",118.000000,-68.000000,180.000000,bottom
"U176","~","2.1x2.1_LED",114.000000,-68.000000,180.000000,bottom
"U177","~","2.1x2.1_LED",110.000000,-68.000000,180.000000,bottom
"U178","~","2.1x2.1_LED",106.000000,-68.000000,180.000000,bottom
"U179","~","2.1x2.1_LED",102.000000,-68.000000,180.000000,bottom
"U180","~","2.1x2.1_LED",162.000000,-72.000000,180.000000,bottom
"U181","~","2.1x2.1_LED",158.000000,-72.000000,180.000000,bottom
"U182","~","2.1x2.1_LED",154.000000,-72.000000,180.000000,bottom
"U183","~","2.1x2.1_LED",150.000000,-72.000000,180.000000,bottom
"U184","~","2.1x2.1_LED",146.000000,-72.000000,180.000000,bottom
"U185","~","2.1x2.1_LED",142.000000,-72.000000,180.000000,bottom
"U186","~","2.1x2.1_LED",138.000000,-72.000000,180.000000,bottom
"U187","~","2.1x2.1_LED",134.000000,-72.000000,180.000000,bottom
"U188","~","2.1x2.1_LED",130.000000,-72.000000,180.000000,bottom
"U189","~","2.1x2.1_LED",126.000000,-72.000000,180.000000,bottom
"U190","~","2.1x2.1_LED",122.000000,-72.000000,180.000000,bottom
"U191","~","2.1x2.1_LED",118.000000,-72.000000,180.000000,bottom
"U192","~","2.1x2.1_LED",114.000000,-72.000000,180.000000,bottom
"U193","~","2.1x2.1_LED",110.000000,-72.000000,180.000000,bottom
"U194","~","2.1x2.1_LED",106.000000,-72.000000,180.000000,bottom
"U195","~","2.1x2.1_LED",102.000000,-72.000000,180.000000,bottom
"U196","~","2.1x2.1_LED",162.000000,-76.000000,180.000000,bottom
"U197","~","2.1x2.1_LED",158.000000,-76.000000,180.000000,bottom
"U198","~","2.1x2.1_LED",154.000000,-76.000000,180.000000,bottom
"U199","~","2.1x2.1_LED",150.000000,-76.000000,180.000000,bottom
"U200","~","2.1x2.1_LED",146.000000,-76.000000,180.000000,bottom
"U201","~","2.1x2.1_LED",142.000000,-76.000000,180.000000,bottom
"U202","~","2.1x2.1_LED",138.000000,-76.000000,180.000000,bottom
"U203","~","2.1x2.1_LED",134.000000,-76.000000,180.000000,bottom
"U204","~","2.1x2.1_LED",130.000000,-76.000000,180.000000,bottom
"U205","~","2.1x2.1_LED",126.000000,-76.000000,180.000000,bottom
"U206","~","2.1x2.1_LED",122.000000,-76.000000,180.000000,bottom
"U207","~","2.1x2.1_LED",118.000000,-76.000000,180.000000,bottom
"U208","~","2.1x2.1_LED",114.000000,-76.000000,180.000000,bottom
"U209","~","2.1x2.1_LED",110.000000,-76.000000,180.000000,bottom
"U210","~","2.1x2.1_LED",106.000000,-76.000000,180.000000,bottom
"U211","~","2.1x2.1_LED",102.000000,-76.000000,180.000000,bottom
"U212","~","2.1x2.1_LED",162.000000,-80.000000,180.000000,bottom
"U213","~","2.1x2.1_LED",158.000000,-80.000000,180.000000,bottom
"U214","~","2.1x2.1_LED",154.000000,-80.000000,180.000000,bottom
"U215","~","2.1x2.1_LED",150.000000,-80.000000,180.000000,bottom
"U216","~","2.1x2.1_LED",146.000000,-80.000000,180.000000,bottom
"U217","~","2.1x2.1_LED",142.000000,-80.000000,180.000000,bottom
"U218","~","2.1x2.1_LED",138.000000,-80.000000,180.000000,bottom
"U219","~","2.1x2.1_LED",134.000000,-80.000000,180.000000,bottom
"U220","~","2.1x2.1_LED",130.000000,-80.000000,180.000000,bottom
"U221","~","2.1x2.1_LED",126.000000,-80.000000,180.000000,bottom
"U222","~","2.1x2.1_LED",122.000000,-80.000000,180.000000,bottom
"U223","~","2.1x2.1_LED",118.000000,-80.000000,180.000000,bottom
"U224","~","2.1x2.1_LED",114.000000,-80.000000,180.000000,bottom
"U225","~","2.1x2.1_LED",110.000000,-80.000000,180.000000,bottom
"U226","~","2.1x2.1_LED",106.000000,-80.000000,180.000000,bottom
"U227","~","2.1x2.1_LED",102.000000,-80.000000,180.000000,bottom
"U228","~","2.1x2.1_LED",162.000000,-84.000000,180.000000,bottom
"U229","~","2.1x2.1_LED",158.000000,-83.980000,180.000000,bottom
"U230","~","2.1x2.1_LED",154.000000,-83.980000,180.000000,bottom
"U231","~","2.1x2.1_LED",150.000000,-83.980000,180.000000,bottom
"U232","~","2.1x2.1_LED",146.000000,-83.980000,180.000000,bottom
"U233","~","2.1x2.1_LED",142.000000,-84.000000,180.000000,bottom
"U234","~","2.1x2.1_LED",138.000000,-84.000000,180.000000,bottom
"U235","~","2.1x2.1_LED",134.000000,-84.000000,180.000000,bottom
"U236","~","2.1x2.1_LED",130.000000,-84.000000,180.000000,bottom
"U237","~","2.1x2.1_LED",126.000000,-84.000000,180.000000,bottom
"U238","~","2.1x2.1_LED",122.000000,-84.000000,180.000000,bottom
"U239","~","2.1x2.1_LED",118.000000,-84.000000,180.000000,bottom
"U240","~","2.1x2.1_LED",114.000000,-84.000000,180.000000,bottom
"U241","~","2.1x2.1_LED",110.000000,-84.000000,180.000000,bottom
"U242","~","2.1x2.1_LED",106.000000,-84.000000,180.000000,bottom
"U243","~","2.1x2.1_LED",102.000000,-84.000000,180.000000,bottom
"U244","~","2.1x2.1_LED",162.000000,-88.000000,180.000000,bottom
"U245","~","2.1x2.1_LED",158.000000,-88.000000,180.000000,bottom
"U246","~","2.1x2.1_LED",154.000000,-88.000000,180.000000,bottom
"U247","~","2.1x2.1_LED",150.000000,-88.000000,180.000000,bottom
"U248","~","2.1x2.1_LED",146.000000,-88.000000,180.000000,bottom
"U249","~","2.1x2.1_LED",142.000000,-88.000000,180.000000,bottom
"U250","~","2.1x2.1_LED",138.000000,-88.000000,180.000000,bottom
"U251","~","2.1x2.1_LED",134.000000,-88.000000,180.000000,bottom
"U252","~","2.1x2.1_LED",130.000000,-88.000000,180.000000,bottom
"U253","~","2.1x2.1_LED",126.000000,-88.000000,180.000000,bottom
"U254","~","2.1x2.1_LED",122.000000,-88.000000,180.000000,bottom
"U255","~","2.1x2.1_LED",118.000000,-88.000000,180.000000,bottom
"U256","~","2.1x2.1_LED",114.000000,-88.000000,180.000000,bottom
"U257","~","2.1x2.1_LED",110.000000,-88.000000,180.000000,bottom
"U258","~","2.1x2.1_LED",106.000000,-88.000000,180.000000,bottom
"U259","~","2.1x2.1_LED",102.000000,-88.000000,180.000000,bottom
"U260","~","2.1x2.1_LED",162.000000,-92.000000,180.000000,bottom
"U261","~","2.1x2.1_LED",158.000000,-92.000000,180.000000,bottom
"U262","~","2.1x2.1_LED",154.000000,-92.000000,180.000000,bottom
"U263","~","2.1x2.1_LED",150.000000,-92.000000,180.000000,bottom
"U264","~","2.1x2.1_LED",146.000000,-92.000000,180.000000,bottom
"U265","~","2.1x2.1_LED",142.000000,-92.000000,180.000000,bottom
"U266","~","2.1x2.1_LED",138.000000,-92.000000,180.000000,bottom
"U267","~","2.1x2.1_LED",134.000000,-92.000000,180.000000,bottom
"U268","~","2.1x2.1_LED",130.000000,-92.000000,180.000000,bottom
"U269","~","2.1x2.1_LED",126.000000,-92.000000,180.000000,bottom
"U270","~","2.1x2.1_LED",122.000000,-92.000000,180.000000,bottom
"U271","~","2.1x2.1_LED",118.000000,-92.000000,180.000000,bottom
"U272","~","2.1x2.1_LED",114.000000,-92.000000,180.000000,bottom
"U273","~","2.1x2.1_LED",110.000000,-92.000000,180.000000,bottom
"U274","~","2.1x2.1_LED",106.000000,-92.000000,180.000000,bottom
"U275","~","2.1x2.1_LED",102.000000,-92.000000,180.000000,bottom
"U276","~","2.1x2.1_LED",162.000000,-96.000000,180.000000,bottom
"U277","~","2.1x2.1_LED",158.000000,-96.000000,180.000000,bottom
"U278","~","2.1x2.1_LED",154.000000,-96.000000,180.000000,bottom
"U279","~","2.1x2.1_LED",150.000000,-96.000000,180.000000,bottom
"U280","~","2.1x2.1_LED",146.000000,-96.000000,180.000000,bottom
"U281","~","2.1x2.1_LED",142.000000,-96.000000,180.000000,bottom
"U282","~","2.1x2.1_LED",138.000000,-96.000000,180.000000,bottom
"U283","~","2.1x2.1_LED",134.000000,-96.000000,180.000000,bottom
"U284","~","2.1x2.1_LED",130.000000,-96.000000,180.000000,bottom
"U285","~","2.1x2.1_LED",126.000000,-96.000000,180.000000,bottom
"U286","~","2.1x2.1_LED",122.000000,-96.000000,180.000000,bottom
"U287","~","2.1x2.1_LED",118.000000,-96.000000,180.000000,bottom
"U288","~","2.1x2.1_LED",114.000000,-96.000000,180.000000,bottom
"U289","~","2.1x2.1_LED",110.000000,-96.000000,180.000000,bottom
"U290","~","2.1x2.1_LED",106.000000,-96.000000,180.000000,bottom
"U291","~","2.1x2.1_LED",102.000000,-96.000000,180.000000,bottom
"U292","~","2.1x2.1_LED",162.000000,-100.000000,180.000000,bottom
"U293","~","2.1x2.1_LED",158.000000,-100.000000,180.000000,bottom
"U294","~","2.1x2.1_LED",154.000000,-100.000000,180.000000,bottom
"U295","~","2.1x2.1_LED",150.000000,-100.000000,180.000000,bottom
"U296","~","2.1x2.1_LED",146.000000,-100.000000,180.000000,bottom
"U297","~","2.1x2.1_LED",142.000000,-100.000000,180.000000,bottom
"U298","~","2.1x2.1_LED",138.000000,-100.000000,180.000000,bottom
"U299","~","2.1x2.1_LED",134.000000,-100.000000,180.000000,bottom
"U300","~","2.1x2.1_LED",130.000000,-100.000000,180.000000,bottom
"U301","~","2.1x2.1_LED",126.000000,-100.000000,180.000000,bottom
"U302","~","2.1x2.1_LED",122.000000,-100.000000,180.000000,bottom
"U303","~","2.1x2.1_LED",118.000000,-100.000000,180.000000,bottom
"U304","~","2.1x2.1_LED",114.000000,-100.000000,180.000000,bottom
"U305","~","2.1x2.1_LED",110.000000,-100.000000,180.000000,bottom
"U306","~","2.1x2.1_LED",106.000000,-100.000000,180.000000,bottom
"U307","~","2.1x2.1_LED",102.000000,-100.000000,180.000000,bottom
"U308","~","2.1x2.1_LED",162.000000,-104.000000,180.000000,bottom
"U309","~","2.1x2.1_LED",158.000000,-104.000000,180.000000,bottom
"U310","~","2.1x2.1_LED",154.000000,-104.000000,180.000000,bottom
"U311","~","2.1x2.1_LED",150.000000,-104.000000,180.000000,bottom
"U312","~","2.1x2.1_LED",146.000000,-104.000000,180.000000,bottom
"U313","~","2.1x2.1_LED",142.000000,-104.000000,180.000000,bottom
"U314","~","2.1x2.1_LED",138.000000,-104.000000,180.000000,bottom
"U315","~","2.1x2.1_LED",134.000000,-104.000000,180.000000,bottom
"U316","~","2.1x2.1_LED",130.000000,-104.000000,180.000000,bottom
"U317","~","2.1x2.1_LED",126.000000,-104.000000,180.000000,bottom
"U318","~","2.1x2.1_LED",122.000000,-104.000000,180.000000,bottom
"U319","~","2.1x2.1_LED",118.000000,-104.000000,180.000000,bottom
"U320","~","2.1x2.1_LED",114.000000,-104.000000,180.000000,bottom
"U321","~","2.1x2.1_LED",110.000000,-104.000000,180.000000,bottom
"U322","~","2.1x2.1_LED",106.000000,-104.000000,180.000000,bottom
"U323","~","2.1x2.1_LED",102.000000,-104.000000,180.000000,bottom
"U324","~","2.1x2.1_LED",162.000000,-108.000000,180.000000,bottom
"U325","~","2.1x2.1_LED",158.000000,-108.000000,180.000000,bottom
"U326","~","2.1x2.1_LED",154.000000,-108.000000,180.000000,bottom
"U327","~","2.1x2.1_LED",150.000000,-108.000000,180.000000,bottom
"U328","~","2.1x2.1_LED",146.000000,-108.000000,180.000000,bottom
"U329","~","2.1x2.1_LED",142.000000,-108.000000,180.000000,bottom
"U330","~","2.1x2.1_LED",138.000000,-108.000000,180.000000,bottom
"U331","~","2.1x2.1_LED",134.000000,-108.000000,180.000000,bottom
"U332","~","2.1x2.1_LED",130.000000,-108.000000,180.000000,bottom
"U333","~","2.1x2.1_LED",126.000000,-108.000000,180.000000,bottom
"U334","~","2.1x2.1_LED",122.000000,-108.000000,180.000000,bottom
"U335","~","2.1x2.1_LED",118.000000,-108.000000,180.000000,bottom
"U336","~","2.1x2.1_LED",114.000000,-108.000000,180.000000,bottom
"U337","~","2.1x2.1_LED",110.000000,-108.000000,180.000000,bottom
"U338","~","2.1x2.1_LED",106.000000,-108.000000,180.000000,bottom
"U339","~","2.1x2.1_LED",102.000000,-108.000000,180.000000,bottom
"U340","~","2.1x2.1_LED",162.000000,-112.000000,180.000000,bottom
"U341","~","2.1x2.1_LED",158.000000,-112.000000,180.000000,bottom
"U342","~","2.1x2.1_LED",154.000000,-112.000000,180.000000,bottom
"U343","~","2.1x2.1_LED",150.000000,-112.000000,180.000000,bottom
"U344","~","2.1x2.1_LED",146.000000,-112.000000,180.000000,bottom
"U345","~","2.1x2.1_LED",142.000000,-112.000000,180.000000,bottom
"U346","~","2.1x2.1_LED",138.000000,-112.000000,180.000000,bottom
"U347","~","2.1x2.1_LED",134.000000,-112.000000,180.000000,bottom
"U348","~","2.1x2.1_LED",130.000000,-112.000000,180.000000,bottom
"U349","~","2.1x2.1_LED",126.000000,-112.000000,180.000000,bottom
"U350","~","2.1x2.1_LED",122.000000,-112.000000,180.000000,bottom
"U351","~","2.1x2.1_LED",118.000000,-112.000000,180.000000,bottom
"U352","~","2.1x2.1_LED",114.000000,-112.000000,180.000000,bottom
"U353","~","2.1x2.1_LED",110.000000,-112.000000,180.000000,bottom
"U354","~","2.1x2.1_LED",106.000000,-112.000000,180.000000,bottom
"U355","~","2.1x2.1_LED",102.000000,-112.000000,180.000000,bottom
